X,Y,OBJECTID,SiteID,SensorDate,SensorID,ConfidenceID,Main_Damage_Site_Class,Grouped_Damage_Classes,FieldValidation,Notes,Settlement_Name,Neighborhood,EventCode
34.5189084450001,31.543138367,"1024",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Severe Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5190036870001,31.5432674830001,"1025",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5187387020001,31.543221788,"1026",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.518624822,31.5431156870001,"1027",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5191665130001,31.5432264740001,"1028",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5187923060001,31.5412421080001,"1029",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5186737260001,31.5410730760001,"1030",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5167541600001,31.541027177,"1031",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.512643966,31.545123199,"1032",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5124398150001,31.5448050840001,"1033",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Impacts on Roads / Bridges,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5130142570001,31.5450603080001,"1034",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Severe Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5127921220001,31.5447322310001,"1035",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5123795320001,31.5454875600001,"1036",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
